mw_id,ce_id
KDX0983-0003,280d2049-9016-43fc-b344-02f70dcb00c5
KDX2275-0010,da6b9cce-0fa7-4ed6-80dc-16e77eb72d6f
KDX0057-0009,cb7cde03-3291-4f23-ae7e-6d8d31852592
KDX0121-0003,aee2e9fa-d486-4e5e-b3de-7f9894a50d3c
KDX0121-0005,2cb765e6-2c8a-47e5-b974-af3ef2ae4083
KDX0608-0004,1705e3d3-c78f-49b0-8e1b-8d08fb62702e
KDX0983-0001,6b45dce9-e1dd-43ba-89be-eab9726d0d12
KDX1577-0007,e560803a-7ae2-4944-9776-d4d32e05999e
JE10357-0001,eedfa241-683e-4f12-8d39-20ae6efa0104
JE44762-0007,9c9040e3-e047-4487-bb68-d03a61737649
JK139911-0009,c29070ee-197d-49bf-915b-49a6f97f4782
KDX2710-0013,b25a8833-dd9f-4ce2-9e4e-9242ed880a7e
JE10357-0003,9ba70528-a4f8-4a8c-9d85-c16c715d40e8
JK201405-0006,ce7a13c4-eccd-438c-8e17-9ad12735c768
JK215625-0006,cbaa9233-d135-49eb-8e46-d83b7fc1b242
KDX0772-0012,0508d479-2fb7-4051-b2b4-361beddda0c7
KDX1589-0006,cfdb619f-36f6-4f81-b3bb-5051940abda8
HEX12283-0010,39710e9e-bdb3-4c0e-9c86-da809f45483a
HEX7525-0009,ba93cd0c-707c-43d3-95a1-441b7d9fb792
KDX1172-0002,99125201-b321-456f-b3c3-6dee9cf53b3a
KDX1781-0002,35be4f51-ea08-4767-bc55-05637ce38704
JE33601-0001,b2f6d9d9-4bce-46bc-8ec9-58e3fb576f4b
KDX0250-0001,9269d771-287a-4131-a215-25d2880381eb
KDX1099-0010,cef53dca-a9d5-4a9b-b4c8-79e3b1465441
KDX1363-0008,5fa22819-3da3-4ca7-9bab-376f5d4790ca
KDX1474-0008,2a7e3ebe-d232-4446-8279-e5bad6cbb902
KDX2710-0005,76857e35-2e4f-4d08-9284-44859d0f0ca3
HEX14544-0074,b00b6903-9e61-49ed-8d56-40e9b5f430df
HEX5981-0010,b0c648d3-be32-43c5-bafc-c98dbcc4c414
HEX6240-0016,7ef658b2-f161-4add-9f10-835dcfe98641
KHX0485-0007,54f160e5-5a8b-4a11-a43b-2fc07a6406ae
JK147607-0001,c1fa8045-af4f-4294-8b20-e5483987394b
JK147607-0003,65a5dba3-e8cb-4e9b-9117-abd88318e798
JK147607-0008,7505ce41-8a75-4932-ada4-0cf6f6724435
JK158864-0002,a6161752-af75-4101-922f-3ff37284f63c
JK158864-0003,6ee1018d-eafb-4848-baf9-3355f7387dc9
HEX12026-0071,b051cfcb-34ca-4bff-9d6a-a561b6f6a5ae
HEX6467-0003,5ebdd752-a4ff-4d7d-adef-6155c217d87e
KHX0830-0011,8f99809c-75d6-4d33-b9ec-2372a306acf7
KHX0534-0002,8f9f2ac1-36f0-46ec-9612-4515de22eb32
HEX7254-0004,ef44e7df-1917-46eb-8e66-963dd1859db8
KHX1528-0024,e35df16e-8072-400c-ba48-87c5f631d336
KHX1616-0012,fbf0081e-6fc1-4b0e-aada-7f39aa9ff6f8
KHX2443-0004,9ca5c4bf-d09b-4ced-b7b5-c12f98c88704
KHX2443-0009,d2b51a43-f82f-408e-acfa-be42356dce0b
KHX1528-0017,af435b7a-19d2-4288-9518-cfe942e1833f
HEX13148-0032,1fb60b20-24e2-4395-a7a9-c7ef44a508e5
HEX11524-0007,c79e39d3-90fe-4c89-a35a-661e838d80be
HEX11057-0019,37c8f33c-626d-4f44-91b4-d43fd9239890
HEX11558-0027,c7b4ee59-be9c-4fb3-b531-d136e40ec9ba
HEX1567-0006,d7296a3c-3103-4f77-b391-a50a9f97ad0e
HEX2822-0005,f774c14b-f5d1-497f-a7d0-c08e4245f58e
HEX5676-0010,b470461e-43c1-4e29-bd26-9e2490f94f6f
HEX6382-0002,4a19a1f0-e8f9-400b-9ffa-856c66d4ef1b
HEX7732-0008,f18660fc-b554-4022-9738-65e9f265fc39
KHX2495-0008,7cbad621-4ce1-4b49-9592-fd6fdb410525
KHX2012-0011,7a838fbd-473b-4000-b0c4-c087b1c76e8f
KHX2604-0004,90b7a686-da9c-4750-ad63-00afb93dce6d
JFX3478-0004,eccc61a0-7ce7-4124-85c9-63dd9033c6c0
HEX9967-0014,e71c3062-6277-4c04-879d-18d987e1637c
HEX8195-0007,0073f2f4-b373-498f-8498-93846b2e62b7
HEX0705-0019,f1c1d08b-6ce5-4c8f-9f3b-a0337fdddf81
HEX2429-0004,a0513363-5fa0-43f6-8a3f-e642624480ad
HEX7037-0003,0139638e-b13e-4725-866b-de61636c1881
KHX2301-0009,8b764d23-b849-4a9c-878f-516db084426f
